Context,Response
Context: a cooking show follows a sewing show.,Response: a travel show follows another travel show.
Context: a travel show follows another travel show.,Response: i'll say! i've gone around the world a dozen times already!
Context: i'll say! i've gone around the world a dozen times already!,Response: now they're adding old tv shows to the old movies.
Context: now they're adding old tv shows to the old movies.,Response: i sure would like to see something interesting for a change.
Context: i sure would like to see something interesting for a change.,"Response: if more people donate money, pbs could offer new shows."
"Context: if more people donate money, pbs could offer new shows.",Response: who wants to donate? public tv should be free.
"Context: i love to watch ""judge judy.""",Response: is that a tv show?
Context: is that a tv show?,Response: yes. it's on every afternoon.
Context: yes. it's on every afternoon.,Response: what's so good about it?
Context: what's so good about it?,Response: they have interesting lawsuits.
Context: they have interesting lawsuits.,Response: such as?
Context: such as?,"Response: yesterday, a woman complained about a cell phone she bought on ebay."
"Context: yesterday, a woman complained about a cell phone she bought on ebay.",Response: was something wrong with the phone?
Context: was something wrong with the phone?,Response: it works only in canada.
Context: it works only in canada.,Response: did the seller know that?
Context: did the seller know that?,"Response: yes, and he didn't tell the buyer."
"Context: yes, and he didn't tell the buyer.",Response: i hope judge judy made the seller take the phone back.
Context: that woman is a very good singer.,"Response: yes, but she looks like a man."
"Context: yes, but she looks like a man.",Response: what difference does it make?
Context: what difference does it make?,Response: female singers are supposed to be pretty.
Context: female singers are supposed to be pretty.,Response: singers are supposed to sound good.
Context: singers are supposed to sound good.,"Response: they should look good, too."
"Context: they should look good, too.",Response: there are lots of ugly men singers.
Context: there are lots of ugly men singers.,Response: men singers don't have to look good.
Context: men singers don't have to look good.,Response: then neither do women singers.
Context: then neither do women singers.,"Response: well, i would never buy her cd."
"Context: well, i would never buy her cd.",Response: but you would buy her cd if she was pretty?
Context: but you would buy her cd if she was pretty?,Response: yes. i would buy all of her cds.
Context: all the tv stations are going to go digital.,"Response: yes, that will occur next month."
"Context: yes, that will occur next month.",Response: most of them are already broadcasting in digital.
Context: most of them are already broadcasting in digital.,Response: the digital signal is very clear.
Context: the digital signal is very clear.,"Response: oh, no, it isn't!"
"Context: oh, no, it isn't!",Response: what do you mean?
Context: what do you mean?,Response: i can't get a single channel.
Context: i can't get a single channel.,Response: do you have a digital tv?
Context: do you have a digital tv?,Response: of course. but i don't have cable.
Context: of course. but i don't have cable.,"Response: you don't need to have cable, but you do need a good antenna."
"Context: you don't need to have cable, but you do need a good antenna.",Response: but i have rabbit ears.
Context: but i have rabbit ears.,Response: rabbit ears aren't strong enough. buy a digital antenna.
Context: i've got a date for you.,"Response: oh, really?"
"Context: oh, really?",Response: are you interested?
Context: are you interested?,Response: maybe. what is she like?
Context: maybe. what is she like?,Response: she's got a great personality.
Context: she's got a great personality.,Response: uh-oh. that means that she's fat and ugly.
Context: uh-oh. that means that she's fat and ugly.,Response: she's cute.
Context: she's cute.,"Response: okay, so she's not ugly; she's just fat."
"Context: okay, so she's not ugly; she's just fat.",Response: she weighs 98 pounds.
Context: she weighs 98 pounds.,"Response: okay, she's not fat. so what's the problem with her?"
"Context: okay, she's not fat. so what's the problem with her?",Response: who said there is a problem with her?
Context: who said there is a problem with her?,Response: the problem is she has no problemsshe's too good for me!
Context: i think you're very pretty.,Response: thank you.
Context: thank you.,Response: would you have dinner with me?
Context: would you have dinner with me?,Response: i would like to.
Context: i would like to.,Response: can i pick you up friday night?
Context: can i pick you up friday night?,Response: what time?
Context: what time?,Response: eight o'clock.
Context: eight o'clock.,Response: that sounds great.
Context: that sounds great.,Response: we'll go to a french restaurant.
Context: we'll go to a french restaurant.,Response: i've never been to a french restaurant.
Context: i've never been to a french restaurant.,Response: i think you'll love the food.
Context: i think you'll love the food.,Response: i'm not going to eat any snails!
Context: you have pretty eyes.,Response: thank you. so do you.
Context: thank you. so do you.,Response: i wish my eyes were blue.
Context: i wish my eyes were blue.,Response: what's the matter with green eyes?
Context: what's the matter with green eyes?,"Response: nothing, except my favorite color is blue."
"Context: nothing, except my favorite color is blue.",Response: maybe in your next life you'll have blue eyes.
Context: maybe in your next life you'll have blue eyes.,Response: but what if i'm a fish in my next life?
Context: but what if i'm a fish in my next life?,Response: i think some fish have blue eyes.
Context: i think some fish have blue eyes.,Response: i hope i don't come back as a fish.
Context: i hope i don't come back as a fish.,Response: i hope i come back as a cat.
Context: i hope i come back as a cat.,Response: cats have beautiful eyes.
Context: cats have beautiful eyes.,Response: i would love to have blue cat-eyes.
Context: i love you.,"Response: i love you, too."
"Context: i love you, too.",Response: i loved you the first day i saw you.
Context: i loved you the first day i saw you.,Response: it was love at first sight?
Context: it was love at first sight?,"Response: yes, it was love at first sight."
"Context: yes, it was love at first sight.",Response: i didn't love you at first.
Context: i didn't love you at first.,Response: i know. i had to chase you for a while.
Context: i know. i had to chase you for a while.,"Response: yes, you chased me and then you caught me."
"Context: yes, you chased me and then you caught me.",Response: now you're mine forever.
Context: now you're mine forever.,Response: and you're mine forever.
Context: and you're mine forever.,Response: we'll grow old together.
Context: we'll grow old together.,Response: and be happy together.
Context: i'm in love with that girl.,Response: have you told her?
Context: have you told her?,Response: of course not.
Context: of course not.,Response: why not?
Context: why not?,Response: she would laugh at me.
Context: she would laugh at me.,Response: how do you know?
Context: how do you know?,Response: because they always do.
Context: because they always do.,Response: maybe she's different.
Context: maybe she's different.,Response: they're all the same.
Context: they're all the same.,Response: just ask her out to dinner.
Context: just ask her out to dinner.,Response: and then what?
Context: and then what?,Response: and then she'll know that you like her.
Context: give me a hug.,Response: i'm not in the mood.
Context: i'm not in the mood.,Response: what's the matter?
Context: what's the matter?,Response: i saw you looking at that woman.
Context: i saw you looking at that woman.,Response: what woman?
Context: what woman?,"Response: you know, that woman with the big boobs."
"Context: you know, that woman with the big boobs.",Response: i was not looking at her.
Context: i was not looking at her.,"Response: you were, too."
"Context: you were, too.",Response: i'm not interested in her.
Context: i'm not interested in her.,Response: then why were you looking at her?
Context: then why were you looking at her?,Response: i was looking at something else.
Context: i was looking at something else.,"Response: oh, really? then spend tonight looking at the sofa."
Context: would you like to go on a blind date?,Response: you must be joking.
Context: you must be joking.,"Response: no, i'm serious."
"Context: no, i'm serious.",Response: i don't want to date a blind woman.
Context: i don't want to date a blind woman.,Response: a blind date doesn't mean that she is blind!
Context: a blind date doesn't mean that she is blind!,Response: what does it mean?
Context: what does it mean?,Response: a blind date is a date with someone you don't know.
Context: a blind date is a date with someone you don't know.,Response: why would i date someone i don't even know?
Context: why would i date someone i don't even know?,Response: to try something new and exciting.
Context: to try something new and exciting.,Response: what if i don't like her?
Context: what if i don't like her?,Response: then you don't date her again.
Context: i have a date tomorrow night.,Response: really? who with?
Context: really? who with?,Response: a girl i met at the market.
Context: a girl i met at the market.,Response: you met a girl at the supermarket?
Context: you met a girl at the supermarket?,Response: she was standing behind me in a really slow line at the checkout counter.
Context: she was standing behind me in a really slow line at the checkout counter.,Response: what did you say to her?
Context: what did you say to her?,"Response: i had two pineapples in my cart, and she asked where i had found them."
"Context: i had two pineapples in my cart, and she asked where i had found them.",Response: she asked you about your pineapples?
Context: she asked you about your pineapples?,"Response: i told her i had gotten the last two on the shelf, but i offered her one of mine."
"Context: i told her i had gotten the last two on the shelf, but i offered her one of mine.",Response: that was nice of you.
Context: that was nice of you.,"Response: she asked me how she could return the favor, so i asked her out."
"Context: she asked me how she could return the favor, so i asked her out.",Response: sometimes a slow line can be a good thing.
Context: did you have a date friday night?,"Response: yes, in fact, i did."
"Context: yes, in fact, i did.",Response: who did you go out with?
Context: who did you go out with?,Response: a man i met in a coffee shop.
Context: a man i met in a coffee shop.,Response: where did you go?
Context: where did you go?,Response: we went to a nice restaurant.
Context: we went to a nice restaurant.,Response: anywhere else?
Context: anywhere else?,Response: then we went to a jazz club.
Context: then we went to a jazz club.,Response: that sounds like a nice date.
Context: that sounds like a nice date.,"Response: yes, it was pleasant."
"Context: yes, it was pleasant.",Response: but you won't date him again?
Context: but you won't date him again?,"Response: no. he was nice, but there was no chemistry."
Context: i had the worst date the other night.,Response: what happened?
Context: what happened?,"Response: first of all, he was half an hour late."
"Context: first of all, he was half an hour late.",Response: that's not a good start.
Context: that's not a good start.,Response: then he didn't bother to apologize.
Context: then he didn't bother to apologize.,Response: that's rude.
Context: that's rude.,Response: then he drove too fast to the restaurant.
Context: then he drove too fast to the restaurant.,Response: that's dangerous.
Context: that's dangerous.,Response: i thought about getting out and taking a taxi home.
Context: i thought about getting out and taking a taxi home.,Response: what happened at the restaurant?
Context: what happened at the restaurant?,"Response: we had a $40 meal, and he left a $1 tip!"
"Context: we had a $40 meal, and he left a $1 tip!",Response: i guess you can't go back to that restaurant.
Context: i don't like that man.,Response: why not?
Context: why not?,Response: he's a dirty old man.
Context: he's a dirty old man.,Response: what do you mean?
Context: what do you mean?,"Response: he's old enough to be my father, yet he asked me out."
"Context: he's old enough to be my father, yet he asked me out.","Response: well, you can't blame a man for asking."
"Context: well, you can't blame a man for asking.",Response: he should act his age.
Context: he should act his age.,Response: but a lot of old people are still interested in dating.
Context: but a lot of old people are still interested in dating.,Response: they should find a nice hobby.
Context: they should find a nice hobby.,Response: just wait until you're 50 years old.
Context: just wait until you're 50 years old.,Response: dating will be the furthest thing from my mind.
Context: dating will be the furthest thing from my mind.,Response: that's what you say now. wait till you're 50.
Context: does your girlfriend ever make you angry?,Response: sometimes.
Context: sometimes.,Response: what does she do?
Context: what does she do?,"Response: just yesterday, i told her i wouldn't trade her for all the money in the world."
"Context: just yesterday, i told her i wouldn't trade her for all the money in the world.",Response: that was a nice thing to say.
Context: that was a nice thing to say.,Response: that's what i thought.
Context: that's what i thought.,Response: what did she say?
Context: what did she say?,Response: she laughed! she didn't believe me.
Context: she laughed! she didn't believe me.,Response: that wasn't very nice of her.
Context: that wasn't very nice of her.,Response: she said that nothing is more important to me than money.
Context: she said that nothing is more important to me than money.,Response: what did you say?
Context: what did you say?,Response: i told her i wouldn't trade her for any other woman in the world.
Context: some people have good noses.,Response: i wish i had a good nose. mine is way too big.
Context: i wish i had a good nose. mine is way too big.,Response: i don't mean good-looking. i mean good-smelling.
Context: i don't mean good-looking. i mean good-smelling.,Response: oh. but that can be a curse.
Context: oh. but that can be a curse.,"Response: yes, because you can be too sensitive to odors."
"Context: yes, because you can be too sensitive to odors.",Response: i'll say. my girlfriend has a nose like a drug dog.
Context: i'll say. my girlfriend has a nose like a drug dog.,Response: did she catch you using drugs?
Context: did she catch you using drugs?,Response: sort of. she knows whenever i sneak a cigarette.
Context: sort of. she knows whenever i sneak a cigarette.,Response: you don't need a good nose for thatcigarettes stink.
Context: you don't need a good nose for thatcigarettes stink.,"Response: but when i sneak just one cigarette in the morning, she can smell it that evening!"
"Context: but when i sneak just one cigarette in the morning, she can smell it that evening!","Response: boy, that is a good nose."
"Context: boy, that is a good nose.",Response: i told her she should apply for a job at customs.
Context: let's go out to eat.,Response: that sounds like fun.
Context: that sounds like fun.,Response: where do you want to go?
Context: where do you want to go?,Response: let me think a minute.
Context: let me think a minute.,Response: i feel like chinese.
Context: i feel like chinese.,Response: that sounds delicious.
Context: that sounds delicious.,Response: i know a good chinese restaurant.
Context: i know a good chinese restaurant.,Response: how far away is it?
Context: how far away is it?,Response: it's only 10 minutes from here.
Context: it's only 10 minutes from here.,Response: do we need reservations?
Context: do we need reservations?,"Response: oh, no. we can walk right in."
"Context: oh, no. we can walk right in.",Response: let's go now. i'm hungry!
Context: i can't believe how long this line is.,"Response: this is a popular restaurant, isn't it?"
"Context: this is a popular restaurant, isn't it?","Response: yes, but it isn't a fast-food restaurant, is it?"
"Context: yes, but it isn't a fast-food restaurant, is it?",Response: it's the slowest hamburger in town.
Context: it's the slowest hamburger in town.,Response: that's because they cook it while you wait.
Context: that's because they cook it while you wait.,Response: yes. that's why it's also the best hamburger in town.
Context: yes. that's why it's also the best hamburger in town.,Response: a great burger and great service.
Context: a great burger and great service.,"Response: yes, the workers are very polite."
"Context: yes, the workers are very polite.",Response: and they're clean.
Context: and they're clean.,Response: i've been coming here for years.
Context: i've been coming here for years.,Response: me too.
Context: me too.,Response: excuse me. they just called my number.
Context: lunch was delicious.,Response: thank you.
Context: thank you.,Response: what kind of soup was that?
Context: what kind of soup was that?,Response: it was tomato soup.
Context: it was tomato soup.,Response: that tasted so good.
Context: that tasted so good.,Response: i put lemon and butter in it.
Context: i put lemon and butter in it.,"Response: the sandwich was good, too."
"Context: the sandwich was good, too.",Response: everyone likes bacon and tomato sandwiches.
Context: everyone likes bacon and tomato sandwiches.,Response: especially on toast.
Context: especially on toast.,"Response: and the pickles were great, too."
"Context: and the pickles were great, too.",Response: tomorrow we'll have rice and fish for lunch.
Context: tomorrow we'll have rice and fish for lunch.,Response: i can't wait.
Context: i'm calling the waiter.,Response: what's the matter?
Context: what's the matter?,Response: this steak has too much fat.
Context: this steak has too much fat.,Response: what do you want the waiter to do?
Context: what do you want the waiter to do?,Response: bring me a better steak.
Context: bring me a better steak.,Response: i wouldn't do that.
Context: i wouldn't do that.,Response: why not?
Context: why not?,"Response: they will drop the new steak on the floor, step on it, and then spit on it."
"Context: they will drop the new steak on the floor, step on it, and then spit on it.",Response: you're crazy.
Context: you're crazy.,Response: then the waiter will give you a big smile as he brings you the new steak.
Context: then the waiter will give you a big smile as he brings you the new steak.,Response: where do you get these crazy ideas?
Context: where do you get these crazy ideas?,Response: i used to cook in a restaurant!
Context: let's leave.,Response: but we just got here.
Context: but we just got here.,Response: did you see the waiter's hands?
Context: did you see the waiter's hands?,Response: no.
Context: no.,Response: he had dirty fingernails.
Context: he had dirty fingernails.,Response: really?
Context: really?,Response: his nails were black!
Context: his nails were black!,Response: that's disgusting.
Context: that's disgusting.,Response: and he poured water into our glasses.
Context: and he poured water into our glasses.,Response: yuck! no water for me.
Context: yuck! no water for me.,"Response: i wonder if the cooks' nails are dirty, too."
"Context: i wonder if the cooks' nails are dirty, too.",Response: who cares? let's get out of here.
Context: this hot bread is delicious.,Response: i like this restaurant because they give you free bread.
Context: i like this restaurant because they give you free bread.,"Response: well, i think we are paying for it."
"Context: well, i think we are paying for it.",Response: no. look at the bill when we get it. there's no charge for the bread.
Context: no. look at the bill when we get it. there's no charge for the bread.,"Response: it is delicious, especially with butter."
"Context: it is delicious, especially with butter.",Response: i think we should just leave after we fill up on the bread.
Context: i think we should just leave after we fill up on the bread.,Response: they probably wouldn't like that.
Context: they probably wouldn't like that.,Response: i'm eating so much bread that i'm getting full.
Context: i'm eating so much bread that i'm getting full.,Response: then stop eating the bread!
Context: then stop eating the bread!,"Response: okay, just one more piece. pass the butter, please."
"Context: okay, just one more piece. pass the butter, please.","Response: if i owned a restaurant, i would never serve hot bread before the main course."
"Context: if i owned a restaurant, i would never serve hot bread before the main course.",Response: that's terrible. i would never go to your restaurant.
Context: is this a clean restaurant?,"Response: well, the tables and chairs look okay."
"Context: well, the tables and chairs look okay.","Response: okay, let's sit down."
"Context: okay, let's sit down.",Response: check out the silverware.
Context: check out the silverware.,Response: it passes inspection.
Context: it passes inspection.,Response: here comes the waiter. see if his hands and nails are clean.
Context: here comes the waiter. see if his hands and nails are clean.,"Response: well, the waiter looked clean, so i guess it's okay to eat here."
"Context: well, the waiter looked clean, so i guess it's okay to eat here.",Response: you're forgetting about the bathroom.
Context: you're forgetting about the bathroom.,Response: i'm going to just hope that the bathroom is clean.
Context: i'm going to just hope that the bathroom is clean.,Response: you're not going to examine it before we order dinner?
Context: you're not going to examine it before we order dinner?,"Response: no, i'd rather not find out that it's dirty, because i'm pretty hungry right now."
"Context: no, i'd rather not find out that it's dirty, because i'm pretty hungry right now.","Response: me, too. let's forget about germs and focus on food."
Context: have you seen our waiter?,Response: here he comes now.
Context: here he comes now.,Response: we've been sitting here for almost 10 minutes.
Context: we've been sitting here for almost 10 minutes.,"Response: oops, i guess i was wrong. that isn't our waiter."
"Context: oops, i guess i was wrong. that isn't our waiter.","Response: we can give him five more minutes, and then leave."
"Context: we can give him five more minutes, and then leave.",Response: i'll go up front and talk to the manager.
Context: i'll go up front and talk to the manager.,Response: that's a good idea.
Context: that's a good idea.,Response: maybe they'll give us free drinks for waiting so long.
Context: maybe they'll give us free drinks for waiting so long.,Response: maybe he'll send us our waiter immediately.
Context: maybe he'll send us our waiter immediately.,"Response: every time we eat out, it's an adventure."
"Context: every time we eat out, it's an adventure.","Response: last time, we got seats next to the kitchen."
"Context: last time, we got seats next to the kitchen.",Response: we'll never go there again.
Context: is this table okay?,"Response: no, it's too close to the kitchen door."
"Context: no, it's too close to the kitchen door.",Response: how about this table?
Context: how about this table?,"Response: no, it's too close to the front door."
"Context: no, it's too close to the front door.",Response: this looks like a nice table.
Context: this looks like a nice table.,"Response: no, it's too close to the salad bar."
"Context: no, it's too close to the salad bar.","Response: okay, i give up."
"Context: okay, i give up.","Response: well, there is one good table."
"Context: well, there is one good table.",Response: great. which one?
Context: great. which one?,Response: that one. a group of eight just sat down at it.
Context: i don't believe the art world.,Response: what is it this time?
Context: what is it this time?,Response: an andy warhol drawing.
Context: an andy warhol drawing.,Response: he's a famous artist.
Context: he's a famous artist.,Response: he drew two butterflies and a flower on a napkin in a restaurant.
Context: he drew two butterflies and a flower on a napkin in a restaurant.,Response: did he sign it?
Context: did he sign it?,Response: yes.
Context: yes.,Response: is it beautiful?
Context: is it beautiful?,Response: it's just black ink on a white napkin. and the napkin has food stains!
Context: it's just black ink on a white napkin. and the napkin has food stains!,Response: so it's not worth much?
Context: so it's not worth much?,"Response: only about $30,000."
"Context: only about $30,000.","Response: without the food stains, it would probably be worth more."
Context: can we go to the baseball game?,Response: of course.
Context: of course.,Response: i love baseball.
Context: i love baseball.,Response: so do i.
Context: so do i.,Response: i love to eat the peanuts.
Context: i love to eat the peanuts.,Response: i love to eat the hot dogs.
Context: i love to eat the hot dogs.,Response: i hope we'll see a home run.
Context: i hope we'll see a home run.,Response: i hope we'll catch a foul ball.
Context: i hope we'll catch a foul ball.,Response: bring a jacket.
Context: bring a jacket.,Response: yes. it gets a little cool at night.
Context: yes. it gets a little cool at night.,Response: bring a glove to catch a foul ball.
Context: bring a glove to catch a foul ball.,Response: no. i'll just use my cap to catch a foul ball.
Context: golf is a silly game.,Response: it certainly is.
Context: it certainly is.,Response: you hit a white ball.
Context: you hit a white ball.,Response: and then you chase it.
Context: and then you chase it.,Response: and then you hit it again.
Context: and then you hit it again.,"Response: finally, you put the ball into a hole in the ground."
"Context: finally, you put the ball into a hole in the ground.","Response: you do this 18 times, because there are 18 holes."
"Context: you do this 18 times, because there are 18 holes.",Response: what's the point?
Context: what's the point?,Response: how can it be fun?
Context: how can it be fun?,Response: they pay money to play this silly game!
Context: they pay money to play this silly game!,Response: i think golfers have a mental problem.
Context: i think golfers have a mental problem.,Response: i think they're nuts.
Context: do you want to go fishing?,Response: yes. that's a good idea.
Context: yes. that's a good idea.,Response: where do you want to go?
Context: where do you want to go?,Response: we can go to the river.
Context: we can go to the river.,Response: or we can go to the lake.
Context: or we can go to the lake.,Response: or we can go to the ocean.
Context: or we can go to the ocean.,Response: let's go to the lake.
Context: let's go to the lake.,Response: yes. the lake is only 10 miles away.
Context: yes. the lake is only 10 miles away.,Response: we can be there in 20 minutes.
Context: we can be there in 20 minutes.,Response: i'll get our fishing rods.
Context: i'll get our fishing rods.,Response: i'll get the bait.
Context: i'll get the bait.,Response: we'll have fresh fish for dinner!
Context: baseball is fun.,Response: i like to hit the ball.
Context: i like to hit the ball.,Response: i like to run around the bases.
Context: i like to run around the bases.,Response: i like to slide into the bases.
Context: i like to slide into the bases.,Response: yeah. it's a lot of fun to slide.
Context: yeah. it's a lot of fun to slide.,Response: i want to be a baseball player when i grow up.
Context: i want to be a baseball player when i grow up.,Response: me too. i want to play for the yankees.
Context: me too. i want to play for the yankees.,Response: not me. i want to play for the dodgers.
Context: not me. i want to play for the dodgers.,Response: we have to practice every day.
Context: we have to practice every day.,Response: i don't like practice.
Context: i don't like practice.,Response: me neither. it's boring.
Context: me neither. it's boring.,Response: but practice makes perfect.
Context: let's go jogging.,Response: that's a good idea.
Context: that's a good idea.,Response: i bought some new shoes.
Context: i bought some new shoes.,Response: are they comfortable?
Context: are they comfortable?,Response: they're very comfortable.
Context: they're very comfortable.,Response: how much were they?
Context: how much were they?,Response: they were on sale for $80.
Context: they were on sale for $80.,Response: do they help you run faster?
Context: do they help you run faster?,"Response: no, but my feet don't hurt anymore."
"Context: no, but my feet don't hurt anymore.",Response: then they're worth every penny.
Context: then they're worth every penny.,Response: you might want to buy a pair.
Context: you might want to buy a pair.,Response: i'll wait until i wear this pair out.
Context: tiger is the greatest golfer in the world.,Response: you can say that again.
Context: you can say that again.,Response: but i'm worried about tiger.
Context: but i'm worried about tiger.,Response: why is that?
Context: why is that?,Response: because he likes to scuba dive.
Context: because he likes to scuba dive.,Response: what's wrong with that?
Context: what's wrong with that?,Response: it can be dangerous.
Context: it can be dangerous.,Response: you mean he could drown.
Context: you mean he could drown.,Response: he shouldn't scuba dive until he retires.
Context: he shouldn't scuba dive until he retires.,Response: but he dives to relax.
Context: but he dives to relax.,"Response: he might relax, but it makes me nervous."
"Context: he might relax, but it makes me nervous.","Response: if his wife doesn't mind, you shouldn't mind."
Context: did you watch that golf tournament?,Response: the one that tiger won?
Context: the one that tiger won?,Response: how did he do it?
Context: how did he do it?,Response: it was nothing for him.
Context: it was nothing for him.,Response: he sank a 20-foot putt on the last hole to win by one stroke!
Context: he sank a 20-foot putt on the last hole to win by one stroke!,Response: he sank a 25-footer last year at the same tournament to win by one stroke.
Context: he sank a 25-footer last year at the same tournament to win by one stroke.,Response: i think he is from outer space.
Context: i think he is from outer space.,Response: no human could possibly play golf that well.
Context: no human could possibly play golf that well.,"Response: whenever he needs a shot to win a tournament, he makes that shot."
"Context: whenever he needs a shot to win a tournament, he makes that shot.",Response: no human can do that.
Context: no human can do that.,Response: somebody should check his birth record.
Context: somebody should check his birth record.,Response: i bet it says he was born on mars.
Context: who's the greatest baseball player?,Response: there are so many great players.
Context: there are so many great players.,"Response: yes, but who is the greatest?"
"Context: yes, but who is the greatest?",Response: i'd have to say babe ruth.
Context: i'd have to say babe ruth.,Response: most people would say that.
Context: most people would say that.,Response: he changed the game.
Context: he changed the game.,"Response: yes, he made the home run popular."
"Context: yes, he made the home run popular.","Response: everybody loved him, all over the nation."
"Context: everybody loved him, all over the nation.",Response: he helped make the yankees the best team ever.
Context: he helped make the yankees the best team ever.,"Response: and ruth was a good person, too."
"Context: and ruth was a good person, too.",Response: he always visited hospitals to cheer up sick kids.
Context: he always visited hospitals to cheer up sick kids.,Response: there will never be another babe.
Context: did you hear what happened at the baseball game?,"Response: no, please tell me."
"Context: no, please tell me.",Response: someone punched out someone.
Context: someone punched out someone.,Response: that's not nice.
Context: that's not nice.,Response: it's worse than that.
Context: it's worse than that.,Response: how so?
Context: how so?,Response: two guys got into an argument.
Context: two guys got into an argument.,Response: i'll bet they were drinking.
Context: i'll bet they were drinking.,Response: a third guy punched one of the two guys.
Context: a third guy punched one of the two guys.,"Response: i'll bet he was drinking, too."
"Context: i'll bet he was drinking, too.",Response: the victim hit his head on the concrete steps and died.
Context: the victim hit his head on the concrete steps and died.,Response: that's terrible. can't people just have fun at a baseball game?
Context: i want to go to the ball game.,Response: is there a game tonight?
Context: is there a game tonight?,"Response: yes, it starts at 7 p.m."
"Context: yes, it starts at 7 p.m.",Response: can we get tickets?
Context: can we get tickets?,"Response: yes, but only the cheap tickets."
"Context: yes, but only the cheap tickets.",Response: how much are they?
Context: how much are they?,Response: they're only $5 each.
Context: they're only $5 each.,Response: that's a good price.
Context: that's a good price.,"Response: yes, it's cheaper than a hot dog or a beer."
"Context: yes, it's cheaper than a hot dog or a beer.",Response: where are the seats?
Context: where are the seats?,Response: they're behind the outfield.
Context: they're behind the outfield.,Response: maybe we can catch a home run ball.
Context: golf is so hard.,Response: what's so hard about hitting a little white ball?
Context: what's so hard about hitting a little white ball?,Response: it's hard if you want to do it right.
Context: it's hard if you want to do it right.,Response: you mean like tiger?
Context: you mean like tiger?,"Response: no, like a good amateur golfer."
"Context: no, like a good amateur golfer.",Response: what's so hard about golf?
Context: what's so hard about golf?,Response: there are so many things you have to do right.
Context: there are so many things you have to do right.,Response: like what?
Context: like what?,"Response: like keep your left arm straight, keep your head down, and follow through."
"Context: like keep your left arm straight, keep your head down, and follow through.",Response: yikes! who can remember all that?
Context: yikes! who can remember all that?,Response: you need to get a lot of lessons when you're really young.
Context: you need to get a lot of lessons when you're really young.,Response: forget it. golf sounds more like work than fun.
Context: did you hear about the ball player?,Response: the home run hitter on drugs?
Context: the home run hitter on drugs?,Response: he said a doctor helped him with a personal problem.
Context: he said a doctor helped him with a personal problem.,Response: he said he wasn't using drugs.
Context: he said he wasn't using drugs.,Response: he apologized to the fans.
Context: he apologized to the fans.,Response: the league suspended him for 50 games.
Context: the league suspended him for 50 games.,Response: that will cost him some money.
Context: that will cost him some money.,"Response: yes, about $7 million."
"Context: yes, about $7 million.",Response: that will teach him a good lesson.
Context: that will teach him a good lesson.,Response: he probably won't use drugs anymore.
Context: he probably won't use drugs anymore.,Response: but it won't stop other players from using drugs.
Context: but it won't stop other players from using drugs.,Response: no. everyone always figures that they won't get caught.
Context: why is there so much crime?,Response: because parents don't teach their kids right from wrong.
Context: because parents don't teach their kids right from wrong.,Response: is that it?
Context: is that it?,"Response: also, there aren't enough police."
"Context: also, there aren't enough police.",Response: but there are a lot of police.
Context: but there are a lot of police.,Response: there's only one police officer per 100 criminals.
Context: there's only one police officer per 100 criminals.,Response: can't we hire more police?
Context: can't we hire more police?,Response: no. it costs too much money.
Context: no. it costs too much money.,Response: doesn't crime cost more than police?
Context: doesn't crime cost more than police?,"Response: yes, it does."
"Context: yes, it does.",Response: so it would be cheaper to hire more police?
Context: so it would be cheaper to hire more police?,"Response: yes, it would."
Context: this is a great neighborhood.,"Response: yes, it is."
"Context: yes, it is.",Response: people are friendly.
Context: people are friendly.,"Response: yes, they are."
"Context: yes, they are.",Response: the streets and sidewalks are clean.
Context: the streets and sidewalks are clean.,"Response: yes, they are."
"Context: yes, they are.",Response: there's a real nice park nearby.
Context: there's a real nice park nearby.,"Response: yes, there is."
"Context: yes, there is.",Response: i feel safe here.
Context: i feel safe here.,Response: there is no crime here.
Context: there is no crime here.,Response: i wish i could move here.
Context: i wish i could move here.,"Response: maybe you can, if someone moves out."
Context: the house burned down.,Response: what happened?
Context: what happened?,Response: the man fell asleep.
Context: the man fell asleep.,Response: was he smoking?
Context: was he smoking?,"Response: yes, he was smoking a cigarette."
"Context: yes, he was smoking a cigarette.",Response: did he die?
Context: did he die?,"Response: yes, he did. his cat died, too."
"Context: yes, he did. his cat died, too.",Response: that's too bad. what about his smoke alarm?
Context: that's too bad. what about his smoke alarm?,Response: the battery was dead.
Context: the battery was dead.,Response: a good battery would have saved his life.
Context: a good battery would have saved his life.,"Response: he had cigarettes, but no battery."
"Context: he had cigarettes, but no battery.",Response: it happens all the time.
Context: they say he has started fifteen big fires.,Response: he's been in jail three times already.
Context: he's been in jail three times already.,Response: why did they ever let him out?
Context: why did they ever let him out?,Response: it's the law. they can't keep him in jail forever.
Context: it's the law. they can't keep him in jail forever.,Response: why not? everyone knows he's a firebug. he loves to start fires.
Context: why not? everyone knows he's a firebug. he loves to start fires.,Response: i don't know. sometimes the law doesn't make sense.
Context: i don't know. sometimes the law doesn't make sense.,Response: but his latest fire killed someone.
Context: but his latest fire killed someone.,Response: this time they have charged him with murder.
Context: this time they have charged him with murder.,Response: so maybe he'll go to jail forever?
Context: so maybe he'll go to jail forever?,Response: i sure hope so.
Context: i sure hope so.,Response: someone should set him on fire.
Context: someone should set him on fire.,Response: that would teach him a good lesson.
Context: put your seatbelt on.,Response: why?
Context: why?,Response: because it will protect you in case of an accident.
Context: because it will protect you in case of an accident.,Response: but it's uncomfortable.
